time,open,high,low,close,volume
2025-09-01T12:02:00.000Z,1439050,1439800,1437750,1439800,3465
2025-09-01T12:03:00.000Z,1439800,1440500,1438450,1440100,10694
2025-09-01T12:04:00.000Z,1440100,1441050,1440000,1440750,5816
2025-09-01T12:05:00.000Z,1440650,1441450,1440450,1441450,6279
2025-09-01T12:06:00.000Z,1441400,1441500,1440200,1440450,6524
2025-09-01T12:07:00.000Z,1440450,1440700,1440100,1440550,2712
2025-09-01T12:08:00.000Z,1440500,1441150,1440250,1440450,2757
2025-09-01T12:09:00.000Z,1440450,1440650,1440100,1440350,1944
2025-09-01T12:10:00.000Z,1440350,1440450,1439250,1439600,6469
2025-09-01T12:11:00.000Z,1439600,1439800,1438900,1438900,4878
2025-09-01T12:12:00.000Z,1438900,1439100,1438300,1438300,6156
2025-09-01T12:13:00.000Z,1438300,1438700,1437300,1438450,9286
2025-09-01T12:14:00.000Z,1438400,1439200,1438150,1438150,5637
2025-09-01T12:15:00.000Z,1438150,1438800,1438000,1438400,3321
2025-09-01T12:16:00.000Z,1438450,1438750,1438350,1438450,1777
2025-09-01T12:17:00.000Z,1438500,1438550,1437950,1438250,3366
2025-09-01T12:18:00.000Z,1438200,1439050,1438000,1438300,3226
2025-09-01T12:19:00.000Z,1438250,1438800,1438100,1438550,2272
2025-09-01T12:20:00.000Z,1438550,1438900,1437750,1438750,3493
2025-09-01T12:21:00.000Z,1438750,1438850,1438300,1438350,1632
2025-09-01T12:22:00.000Z,1438350,1438900,1438250,1438600,2230
2025-09-01T12:23:00.000Z,1438600,1438950,1438550,1438700,1538
2025-09-01T12:24:00.000Z,1438650,1438750,1438350,1438500,1304
2025-09-01T12:25:00.000Z,1438450,1438900,1438050,1438850,2787
2025-09-01T12:26:00.000Z,1438850,1439150,1438700,1438950,2818
2025-09-01T12:27:00.000Z,1438950,1438950,1438400,1438450,2085
2025-09-01T12:28:00.000Z,1438500,1438850,1438400,1438700,1306
2025-09-01T12:29:00.000Z,1438700,1439800,1438650,1439650,6472
2025-09-01T12:30:00.000Z,1439650,1439900,1439400,1439450,3844
2025-09-01T12:31:00.000Z,1439400,1439650,1439000,1439550,3053
2025-09-01T12:32:00.000Z,1439550,1440250,1439450,1439700,6000
2025-09-01T12:33:00.000Z,1439650,1439700,1439250,1439550,2272
2025-09-01T12:34:00.000Z,1439550,1440350,1439500,1440200,3682
2025-09-01T12:35:00.000Z,1440200,1440650,1440050,1440150,4105
2025-09-01T12:36:00.000Z,1440150,1440500,1439800,1440100,3373
2025-09-01T12:37:00.000Z,1440100,1440750,1439750,1440350,3968
2025-09-01T12:38:00.000Z,1440350,1440650,1440050,1440450,2656
2025-09-01T12:39:00.000Z,1440450,1440900,1440250,1440500,3927
2025-09-01T12:40:00.000Z,1440500,1440650,1440250,1440650,2006
2025-09-01T12:41:00.000Z,1440600,1440850,1440100,1440300,2719
